Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
83,13:42.68,,David VORBACH,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1105
84,13:42.77,,Awet BERAKI,,ERI,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1104
85,13:43.41,,Jacob KLEMZ,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1102
86,13:43.76,,Kang NYOAK,05 MAR 2000,AUS,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1101
87,13:44.14,,David MULLARKEY,07 MAR 2000,GBR,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1099
88,13:44.64,,William COOGAN,,USA,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1098
89,13:44.78,,Zach PANNING,29 MAR 1995,USA,9,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1097
90,13:45.40,,Fernando Daniel MARTÍNEZ,30 MAY 1993,MEX,16f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1095
91,13:45.44,,Shuaib ALJABALY,16 FEB 2000,USA,1f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1095
92,13:46.11,,Eldad MULUGETA,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1092
93,13:46.45,,Ryan JOHNSON,19 JUL 2001,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1091
94,13:46.65,,Nicholas BENDTSEN,,USA,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1090
95,13:46.76,,Brian MASAI,,KEN,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1090
95,13:46.76,,Nate KAWALEC,,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1090
97,13:46.79,,Haftu KNIGHT,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1090
98,13:46.89,,Mike TATE,01 APR 1995,CAN,11f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1090
99,13:47.00,,Jan Lukas BECKER,22 SEP 1993,GER,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 FEB 2023,1089
100,13:47.01,,Christian PATZKA,,USA,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,1089
101,13:47.03,,Evan BYRNE,20 DEC 1997,IRL,7f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1089
102,13:47.05,,Gable SIEPERDA,,USA,12f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1089
103,13:47.78,,Christopher HUNTER,,USA,2f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1086
104,13:48.23,,Ibrahim KEDIR,06 MAY 2000,CAN,8f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1085
105,13:48.47,,Geoffrey KIPCHUMBA,27 SEP 1987,USA,18f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1084
106,13:48.50,,Christian ALLEN,20 OCT 1997,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1084
107,13:49.03,,Ethan COLEMAN,28 APR 2004,USA,13f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1082
108,13:49.14,,Talha SYED,18 FEB 2003,USA,3f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1082
109,13:49.19,,Hannes BURGER,1999,GER,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1081
110,13:49.33,,Aidan TROUTNER,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1081
111,13:49.61,,Oisín Ó GAILÍN,14 MAR 1997,IRL,1f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1080
112,13:49.68,,Eli BENNETT,,USA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1080
113,13:49.71,,Leo YOUNG,28 FEB 2005,USA,2f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1080
114,13:50.03,,Abdel LAADJEL,09 SEP 2003,IRL,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1078
115,13:50.94,,Paul O'DONNELL,16 MAY 1998,IRL,1,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1075
116,13:51.24,,Joseph O’BRIEN,04 JUL 2004,GBR,3f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1074
117,13:51.26,,Nathan LAWLER,,USA,9f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1074
118,13:51.53,,Philippe MORNEAU-CARTIER,03 APR 2001,CAN,14f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1073
119,13:51.89,,Rishabh PRAKASH,,USA,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1072
120,13:52.06,,Jack JENNINGS,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1071
121,13:52.09,,Ethan COLEMAN,,USA,2,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1071
122,13:52.15,,Meikael BEAUDOIN-ROUSSEAU,29 MAY 2000,USA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1071
123,13:52.37,,Marcelo ROCHA,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,1070
124,13:52.42,,Colin SAHLMAN,,USA,15f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1070
125,13:52.45,,Sam LAWLER,,USA,1f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1070
126,13:52.46,,Kevin BERRY,,USA,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1070
127,13:52.49,,Luke GRUNDVIG,,USA,2f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1070
128,13:52.51,,Scott BEATTIE,04 DEC 1998,GBR,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1070
129,13:52.74,,Ian KIBIWOT,,KEN,3,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1069
130,13:52.84,,Tyler BERG,02 SEP 2000,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1069
131,13:52.95,,Joseph TROJAN,,USA,10f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1068
132,13:53.03,,Ben PERRIN,,USA,3,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,1068
133,13:53.19,,Matthew SCHAEFER,,USA,3f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1067
134,13:53.36,,Cameron PROCEVIAT,20 SEP 1993,CAN,4f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1067
135,13:53.51,,Alex DROVER,16 JAN 1999,CAN,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1066
136,13:53.57,,Alexander KORCZYNSKI,,USA,5f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1066
137,13:53.61,,Nicholas RUSSELL,,USA,16f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1066
138,13:53.70,,Ethan MARSHALL,,USA,4f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1066
139,13:53.71,,Ruiz LOYOLA,,USA,1f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1066
140,13:53.93,,Ethan GREGG,,USA,3,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,1065
141,13:53.96,,Thomas PATRICK,04 JUL 2001,GBR,4f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1065
142,13:54.00,,John TATTER,,USA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1064
143,13:54.14,,Joe HUDSON,15 JUN 2001,GBR,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1064
144,13:54.18,,Austen DALQUIST,16 NOV 1995,USA,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1064
145,13:54.20,,Josh METHNER,,USA,11,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1064
146,13:54.27,,Tom GRAHAM-MARR,25 NOV 2000,GBR,2f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1064
147,13:54.41,,Ryan HARTMAN,16 JUN 2001,USA,1f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1063
148,13:54.50,,Milo GREDER,,USA,2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,1063
149,13:54.58,,Lexington HILTON,,USA,6f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1062
150,13:54.94,,Max TUREK,05 OCT 1999,CAN,7f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1061
151,13:55.09,,Isaac ALONZO,,USA,11f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1061
152,13:55.17,,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,1060
153,13:55.38,,Titus WINDERS,,USA,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1060
154,13:55.44,,Damien DILCHER,,USA,7f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1059
155,13:55.56,,Larry-Josh EDWARDS,,USA,8f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1059
156,13:55.67,,Abdelhakim ABOUZOUHAIR,20 NOV 1997,MAR,9f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1059
157,13:55.99,,Chase WEAVERLING,10 JAN 1996,USA,12f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1058
158,13:56.10,,Matt STORER,,USA,5f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1057
159,13:56.18,,Charles SPROTT,13 MAY 2003,AUS,5f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1057
160,13:56.23,,Corey GORGAS,,USA,17f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1057
161,13:56.76,,Alex COMERFORD,,USA,6f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1055
162,13:56.82,,Tyrone GORZE,15 NOV 2004,USA,1f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,1055
163,13:57.19,,Chandler GIBBENS,,USA,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1053
164,13:57.38,,Joseph O'BRIEN,,USA,4,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,1053
165,13:57.43,,Sam ACQUAVIVA,,USA,7f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1052
166,13:57.52,,Toby GUALTER,27 NOV 2000,NZL,9f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1052
167,13:57.61,,Reuben REINA,,USA,10f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1052
168,13:57.65,,Josh PIERANTONI,,USA,6f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1052
169,13:57.71,,Eli NAHOM,,USA,13f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1051
170,13:57.72,,Austin VANCIL,01 DEC 2000,USA,19f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1051
170,13:57.72,,Micah GILPATRIC,,USA,11f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1051
172,13:57.74,,Ryan BUZBY,,USA,3f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1051
173,13:57.79,,Peter VISSER,13 FEB 2003,USA,12f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1051
174,13:57.91,,Ryker HOLTZEN,,USA,2f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1051
175,13:57.94,,Zachary LEACHMAN,,USA,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1051
176,13:58.05,,Rogério AMARAL,19 FEB 2001,POR,1,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,1050
177,13:58.11,,Nickolas SCUDDER,,USA,20f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1050
178,13:58.16,,Aaron TEMPLETON,23 OCT 1995,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,1050
179,13:58.18,,Albert VELIKONJA,,USA,4f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1050
180,13:58.25,,Mitchell DERVIN,,USA,9f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1050
181,13:58.37,,Duncan FUEHNE,,USA,14f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,1049
182,13:58.66,,Patrick CULLEN,,USA,3f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,1048
