Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
58,13:28.23,,David MULLARKEY,07 MAR 2000,GBR,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1157
59,13:28.25,,Dylan JACOBS,15 JUN 2000,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1157
60,13:28.81,,Toby GILLEN,23 MAY 2001,AUS,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1155
61,13:29.00,,Maximilian THORWIRTH,09 JAN 1995,GER,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1154
62,13:30.07,,Habtom SAMUEL,30 NOV 2003,ERI,4,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1150
63,13:30.14,,Simon BEDARD,03 JAN 1997,FRA,14f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1150
64,13:30.25,,Andrew BUTCHART,14 OCT 1991,GBR,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1150
65,13:30.37,,Cole SPROUT,03 DEC 2001,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1149
66,13:31.17,,Alex MAIER,,USA,6,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1146
67,13:31.63,,Jackson SHARP,21 AUG 2000,AUS,8,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1145
68,13:31.81,,Peter LYNCH,26 NOV 1997,IRL,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1144
69,13:32.33,,Jonas RAESS,08 MAR 1994,SUI,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1142
70,13:33.12,,Kirami Collin YEGO,26 MAR 1999,KEN,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1139
71,13:33.66,,Kazuki TAMURA,16 JUL 1995,JPN,10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1137
