Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
375,14:27.22,,Tanner KLUMPH,,USA,2,,"Minnesota Fieldhouse, Minneapolis, MN (USA) (i)",16 FEB 2024,951
376,14:27.25,,Hunter MARINO,,USA,10f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,951
377,14:27.26,,Landen VAILLANCOURT,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,951
378,14:27.37,,Jake PHILLIPS,,USA,7f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,950
379,14:27.46,,Firaol AHMED,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,950
380,14:27.50,,Anthony BENTIVEGNA,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,950
381,14:27.56,,Blake KASPER,,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,950
382,14:27.84,,Simeon EHM,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,949
383,14:27.85,,Martin RIDDELL,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,949
384,14:27.86,,Gavin EHLERS,,USA,19f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,949
385,14:27.93,,Matthew COFFEY,,USA,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,949
386,14:27.96,,Jack JOHNSTON,,USA,3,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,948
387,14:28.11,,Sergey ZVONOV,25 APR 1996,RUS,5,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,948
388,14:28.32,,Zack LOOMIS,,USA,9,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,947
389,14:28.39,,Jack MOORE,,USA,20f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,947
390,14:28.65,,Weber LONG,,USA,14f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,946
391,14:28.74,,Keeton THORNSBERRY,,USA,3,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,946
391,14:28.74,,Baptiste TARDIVEAU,26 DEC 2001,FRA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,946
393,14:28.81,,Dino BOŠNJAK,21 JAN 1994,CRO,2,,"Velesajam Hall, Zagreb (CRO) (i)",17 FEB 2024,946
394,14:28.83,,Samuel VINCENT,1992,CAN,1,,"James Daly Fieldhouse, Winnipeg (CAN) (i)",20 JAN 2024,946
395,14:28.91,,Luke LABATTE,,USA,5,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,945
396,14:28.93,,Timothy GILL,15 JUL 1992,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,945
397,14:28.99,,Cole BULLOCK,,USA,20,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,945
398,14:29.15,,Habtamu GETA,,USA,3,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,945
399,14:29.34,,Adam LOENSER,,USA,16,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,944
400,14:29.35,,Austin POPPLEWELL,14 AUG 2002,USA,21,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,944
401,14:29.47,,Nate TAVAKOLIAN,,USA,3,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,943
402,14:29.48,,Zubin JHA,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,943
403,14:29.54,,Row SULLIVAN,,USA,6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,943
404,14:29.66,,Tristian MERCHANT,,USA,4,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,943
405,14:29.69,,Christian SCHAAF,,USA,20f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,943
406,14:29.73,,Luca MADEO,2003,GER,2,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,943
406,14:29.73,,Joshua MENDOZA,,USA,5,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,943
408,14:29.78,,Seth BABBEL,,USA,11,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,942
409,14:29.87,,Robert CAREW,,USA,8f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,942
410,14:29.93,,Dylan MALONEY,,USA,1f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,942
411,14:30.00,,Henry HASSE,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,942
412,14:30.04,,Peter LAROCHELLE,,USA,21f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,942
413,14:30.36,,Marc BARONCINI,,USA,1f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,941
414,14:30.39,,Sacha PERRIER,22 FEB 2001,FRA,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,940
415,14:30.74,,Anthony DIAZ,,USA,2f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,939
416,14:30.93,,Conor BOHRER,,USA,13f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,939
417,14:31.08,,Charlie KRASNOFF,,USA,7,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,938
418,14:31.09,,Kristian IMROTH,19 JAN 2002,GBR,4,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,938
419,14:31.17,,Frank CSORBA,,USA,23f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,938
420,14:31.22,,Luke TAYLOR,,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,938
421,14:31.35,,Varun OBERAI,,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,937
422,14:31.48,,Connor VISNIC,,USA,11,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,937
423,14:31.70,,Josh BECKER,,USA,6,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,936
424,14:32.04,,Jonathan DESOUZA,2000,CAN,3,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,935
425,14:32.12,,Joseph STODDARD,,USA,2f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,935
426,14:32.17,,Ben BUTCHER,,USA,5,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,935
427,14:32.41,,Xavier JOHNSON,,USA,3f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,934
428,14:32.49,,Jonas LARSON,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,933
429,14:32.54,,Richie JACOBO,,USA,3f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,933
430,14:32.59,,Andrew HEALEY,,USA,22f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,933
431,14:32.66,,Steve ZUCCA,,USA,14f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,933
432,14:32.73,,Tom APPENHEIMER,2001,CAN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,933
433,14:32.88,,Zane JACKSON,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,932
434,14:32.94,,Dan PEDRETTI,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,932
435,14:33.07,,Dennis KIPNGENO,,KEN,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,932
436,14:33.31,,Colby ADAMS,,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,931
437,14:33.33,,Tommy ELWOOD,,USA,1f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,931
438,14:33.42,,Nicodemus ROTICH,,KEN,6,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,930
439,14:33.43,,Kelvin KIMAIYO,,KEN,2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,930
440,14:33.44,,Conner RUTHERFORD,,USA,22,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,930
441,14:33.45,,Christian GILLER,,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,930
441,14:33.45,,Ben SANTOS,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,930
443,14:33.50,,Levi CHAMBERS,,USA,4,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,930
444,14:33.53,,Hayden HEALEY,,USA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,930
445,14:33.55,,Henry DIDDEN,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,930
446,14:33.59,,Andrew CROMPTON,,USA,7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,930
447,14:33.64,,Logan PIETZRAK,,USA,12,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,930
448,14:33.70,,Noah LITTLE,,USA,3,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,930
449,14:33.80,,Brayden MARSHALL,,USA,5f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,929
450,14:33.86,,Jake SMITH,,USA,5,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,929
451,14:33.91,,Sullivan MIDDAUGH,,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,929
452,14:33.92,,Justice ARTISST,,USA,3,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,929
453,14:33.97,,Rolando Gabriel ORTIZ,07 NOV 2002,COL,4,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,929
454,14:34.00,,Thomas CAIN,,USA,7,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,929
455,14:34.03,,Evan HORGAN,,USA,1f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,928
456,14:34.14,,Surafel MENGIST,,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,928
457,14:34.19,,Griffin STAUDE,,USA,8,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,928
458,14:34.29,,Hunter KLIMEK,,USA,7,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,928
459,14:34.38,,Jack MEIJER,03 NOV 2000,GBR,23,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,927
459,14:34.38,,Jesse CAMPOVERDE,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,927
461,14:34.42,,Jason POLYDORIS,,USA,9,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,927
462,14:34.46,,Evan SHERMAN,,USA,8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,927
463,14:34.50,,Noah TAYLOR,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,927
464,14:34.69,,Nate JENNINGS,,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",22 FEB 2024,926
465,14:34.71,,Mitchell GITS,,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,926
466,14:34.90,,Kevin CASTRUITA,,USA,6,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,926
467,14:34.93,,Daniel CHAVEZ,,USA,13,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,925
468,14:35.00,,Miles TAKIGUCHI,,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,925
469,14:35.07,,Lucas BOUQUOT,,USA,15f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,925
470,14:35.19,,Grayson CROCKETT,,USA,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,925
471,14:35.37,,Paul STAMM,,USA,9,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,924
472,14:35.41,,Mark LEMKE,,USA,14,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,924
473,14:35.52,,Harry MARSON,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 MAR 2024,924
474,14:35.54,,Mason KRIEG,,USA,2f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,923
475,14:35.55,,Alec SAUTER,,USA,9,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,923
476,14:35.58,,Brian KIPROTICH,,KEN,9,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,923
477,14:35.71,,DK SCHNIEDERS,,USA,10,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,923
478,14:35.90,,Teagan FLANAGAN,,USA,4f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,922
479,14:35.91,,Sean AHERN,,USA,10,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,922
480,14:35.92,,Jake ARASON,,USA,8,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,922
481,14:35.95,,Finn BIRNIE,26 SEP 2000,GBR,1f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,922
482,14:36.00,,Yonas HAILE,,USA,24f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,922
483,14:36.13,,Peyton GEEHRER,07 OCT 2002,USA,1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,922
484,14:36.17,,Zack MUNGER,,USA,7,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,921
485,14:36.30,,Weston DAY,,USA,6f1,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,921
486,14:36.34,,Geno CHRISTOFANELLI,,USA,3,,"Norton Sports Center, Louisville, KY (USA) (i)",27 JAN 2024,921
487,14:36.38,,Bridger ALTICE,,USA,10,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,921
488,14:36.41,,Seth MARTINEZ,,USA,11,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,921
489,14:36.50,,Ryan BUZBY,,USA,1,,"Bowen Fieldhouse, Ypsilanti, MI (USA) (i)",23 FEB 2024,920
490,14:36.60,,Ryker HOLTZEN,,USA,11,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,920
491,14:36.89,,Cole PERRY,18 MAR 2004,USA,12,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,919
492,14:36.91,,Evan HILL,,USA,24,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,919
493,14:37.11,,Taylor KNIGHT,,USA,12,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,918
494,14:37.12,,Emmanuel LEBLOND,,USA,17,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,918
495,14:37.21,,Chris ANDERSON,,USA,6,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,918
496,14:37.36,,David REYNOLDS,,USA,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,918
497,14:37.43,,Liam TILTON,13 MAY 2004,USA,17f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,917
497,14:37.43,,Payton SMITH,,USA,9,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,917
499,14:37.49,,Jack STANSELL,,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,917
500,14:37.68,,Spencer CARDINAL,,USA,5f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,916
501,14:37.79,,Enock KIMUTAI,,KEN,6,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,916
502,14:37.89,,Grady SATTERFIELD,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,916
503,14:37.90,,David GIRARDIN,2000,CAN,20f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,916
503,14:37.90,,Joshua JOHNSTON,,AUS,7,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,916
505,14:38.12,,Eric BEYERLE,,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,915
506,14:38.17,,Troy HILL,,USA,18f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,915
507,14:38.31,,Wesley KALLGREN,,USA,13,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,914
508,14:38.35,,Adam WHITEHEAD,,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,914
509,14:38.37,,Raphael KITUR,,KEN,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",09 FEB 2024,914
510,14:38.45,,Luke STOEFFLER,,USA,2,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,914
511,14:38.53,,Eddie MULDER,,USA,3,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,914
512,14:38.60,,Charles CONDRA,,USA,26,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,913
513,14:38.82,,Christian GRAHAM,17 JUL 2001,GBR,12,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,913
514,14:39.09,,Kevin TURLINGTON,,USA,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,912
515,14:39.13,,Jackson BURCH,,USA,8,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,912
516,14:39.21,,Andre BOLLAM-GODBOTT,,USA,4,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,912
517,14:39.22,,Isaac VANWESTRIENEN,,USA,18,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,911
518,14:39.27,,Vedang LAD,,USA,23f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,911
519,14:39.30,,Seth SLAVIN,,USA,16f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,911
519,14:39.30,,Calbert GUEST,,USA,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",16 FEB 2024,911
521,14:39.51,,Nathan MOORE,,USA,5,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,911
522,14:39.58,,Steven STRUK,,USA,10,,"Armory Track&Field Center, New York, NY (USA) (i)",22 FEB 2024,910
523,14:39.60,,Johan CORREA,,USA,2,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,910
524,14:39.63,,Aidan LORD,,USA,19f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,910
525,14:39.68,,AJ GOECKER,,USA,13,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,910
526,14:39.81,,Kenneth EASTERLING,,USA,24f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,910
527,14:40.11,,Cortland ROSS,,USA,2f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,909
528,14:40.25,,Matthew LOZANO,1997,CAN,9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,908
529,14:40.30,,Gilbert KIMUTAI,,KEN,8,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,908
530,14:40.42,,Gidion SIGEI,,USA,4,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,908
531,14:40.51,,Vincent Kibet YEGON,05 DEC 2000,KEN,5,,"Norton Sports Center, Louisville, KY (USA) (i)",27 JAN 2024,907
532,14:40.52,,Matthew GIARDINA,,USA,2f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,907
533,14:40.62,,Derek FEARON,,USA,19,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",08 MAR 2024,907
534,14:40.77,,James RAMEY,,USA,10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,906
535,14:40.85,,Carson BURIAN,,USA,28,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,906
536,14:41.01,,Matthew COYLE,,USA,21f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,906
537,14:41.04,,Elijah DE LA CERDA,,USA,22f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,906
538,14:41.22,,Gabriel RODRIGUEZ,,USA,9f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,905
539,14:41.27,,Peter SHIPPY,,USA,2,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,905
540,14:41.35,,Tom THIERRY,10 SEP 2002,FRA,23f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,905
541,14:41.39,,Chase MCQUEEN,,USA,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,904
541,14:41.39,,Austen CANNON,,USA,23f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,904
543,14:41.55,,Jack GRAFFEO,,USA,11,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,904
544,14:41.67,,Bryce DAVIS,,USA,2,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,904
545,14:41.84,,Dennis FORTUNA,,USA,3,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,903
546,14:41.98,,Paul LESPASIO,,USA,14,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,903
547,14:42.08,,Noah ZAHN,,USA,13,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 FEB 2024,902
548,14:42.10,,Jackson KEEFER,,USA,24f1,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,902
549,14:42.20,,Colton WALKER,,USA,5,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,902
550,14:42.27,,Maxime RICCI,2002,FRA,3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,902
551,14:42.48,,Michael ZAPHERSON,,USA,3,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,901
552,14:42.60,,Ethan MEYER,,USA,18f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,901
553,14:42.71,,Zachary MCPHEE,2002,CAN,6f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,900
554,14:42.72,,Garrett DUMKE,,USA,5,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,900
555,14:42.82,,Colin BLACK,,USA,4,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,900
556,14:42.94,,Trevor ACTION,,USA,3,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,899
557,14:43.00,,Austin HONE,,USA,1f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,899
558,14:43.20,,Jack TAVAGLIONE,,USA,3f1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",23 FEB 2024,899
559,14:43.34,,Finn MCKEE,,USA,4,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,898
560,14:43.53,,Aidan REYNA,,USA,9,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,898
561,14:43.73,,Ryan ADKINS,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,897
562,14:43.85,,Nahim ABDALLAH,,USA,12,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,896
563,14:43.93,,Andrew PILAT,,USA,7f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,896
564,14:43.94,,Nicholas KIPROTICH,,KEN,7,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",23 FEB 2024,896
565,14:44.08,,Daniil DMITRIYEV,17 NOV 2002,RUS,6,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,896
566,14:44.25,,Joseph YOUNG,,USA,3f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,895
567,14:44.28,,Johnathan ESTRADA,,USA,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,895
568,14:44.32,,Ilnaz MINIGALEYEV,11 NOV 1995,RUS,7,,"LFK CSKA, Moskva (RUS) (i)",25 FEB 2024,895
569,14:44.44,,Jedediah MEGARGEL,,USA,2f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,895
570,14:44.50,,Billy COAKLEY,20 OCT 2001,USA,5,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,894
571,14:44.55,,Isaac MORRIS,,USA,3f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,894
572,14:44.58,,Oliver PALEEN,,USA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,894
573,14:44.81,,Sean GROSSMAN,02 JUN 1996,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,893
574,14:45.03,,Roland PRENZLER,,USA,8f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,893
575,14:45.09,,Tyler SULLIVAN,,USA,4f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,892
576,14:45.13,,Blake MORRIS,,USA,29,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,892
