Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
108,2:24.41,,Archie WALLIS,07 NOV 1999,AUS,8f1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1040
109,2:24.52,,Simon BÉRUBÉ,10 JUL 1997,CAN,1,,"James Daly Fieldhouse, Winnipeg (CAN)",09 JUL 2021,970
110,2:24.53,,Konstantin PLOKHOTNIKOV,24 MAR 1997,RUS,4,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,1038
111,2:24.59,,Tomasz PRZYBYLAK,07 FEB 2001,POL,1,,"Golęcin Stadion, Poznan (POL)",17 JUL 2021,969
112,2:24.65,,Iskander JHINAOUI,25 AUG 1998,TUN,2,,"Stade Louis II, Monaco (MON)",09 JUL 2021,968
113,2:24.81,,Enzo GRANGER,17 JAN 1999,FRA,5f1,,"Stade R. Quintard, Cerizay (FRA)",13 JUL 2021,964
114,2:24.83,,Patryk SIERADZKI,06 OCT 1998,POL,5,,"Forest Stadium, Sopot (POL)",30 AUG 2021,964
115,2:24.84,,David THOMPSON,,USA,1f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1031
116,2:24.87,,Julien STALHANDSKE,28 APR 2000,SUI,1f1,,"Stadion Hard, Langenthal (SUI)",13 MAY 2021,963
116,2:24.87,,Constantin SCHULZ,30 MAY 1998,GER,3,,"Nordanlage, Leipzig (GER)",21 JUL 2021,963
118,2:24.90,,Zalen NELSON,30 JUL 2000,USA,2f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",04 DEC 2021,1030
119,2:24.92,,Jonas SCHÖPFER,30 JUN 1996,SUI,2f1,,"Stadion Hard, Langenthal (SUI)",13 MAY 2021,962
120,2:24.95,,Julien TERTRAIN,06 JUN 1996,FRA,1,,"Stade Bréquigny, Rennes (FRA)",10 SEP 2021,961
121,2:24.96,,Edose IBADIN,27 FEB 1993,NGR,5,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",30 JAN 2021,1028
