Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
115,7.40,,Judyth KITSON,02 NOV 1979,JAM,1h3,,"Johnson City, TN (USA) (i)",31 JAN 2003,1084
115,7.40,,Natalya BYSTROVA,1980,RUS,1,,St. Petersburg (RUS) (i),13 FEB 2003,1084
115,7.40,,Radmila VUKMIROVIČ,23 NOV 1979,SLO,3,,Celje (SLO) (i),15 FEB 2003,1084
115,7.40,,Ashley OWENS,19 NOV 1985,USA,1,,"Pocatello, ID (USA) (i)",15 FEB 2003,1084
115,7.40,,Daria KORCZYŃSKA,30 JUL 1981,POL,1,,Spala (POL) (i),22 FEB 2003,1084
115,7.40,,Daniela GRAGLIA,26 MAY 1976,ITA,3,,Genova (ITA) (i),01 MAR 2003,1084
115,7.40,,Hana BENEŠOVÁ,19 APR 1975,CZE,1,,Bratislava (SVK) (i),02 MAR 2003,1084
115,7.40,,Ara TOWNS,26 MAR 1983,USA,3,,"Bloomington, IN (USA) (i)",02 MAR 2003,1084
115,7.40,,Enikő SZABÓ,10 NOV 1979,HUN,8,,Linz (AUT) (i),07 MAR 2003,1084
115,7.40,,Heidi HANNULA,26 FEB 1980,FIN,2,,Tampere (FIN) (i),27 MAY 2003,1084
127,7.41,,Amandi RHETT,29 JUN 1982,USA,1,,"Lexington, KY (USA) (i)",18 JAN 2003,1081
127,7.41,,Shelly-Ann BROWN,15 MAR 1980,CAN,1,,"Lincoln, NE (USA) (i)",08 FEB 2003,1081
127,7.41,,Virgil HODGE,17 NOV 1983,SKN,2,,"Pocatello, ID (USA) (i)",15 FEB 2003,1081
127,7.41,,Misty MCCONNELL,,USA,1,,"Salt Lake City, UT (USA) (i)",21 FEB 2003,1081
127,7.41,,LaJuana LOVETT,07 MAY 1982,USA,1sf2,,"Houston, TX (USA) (i)",22 FEB 2003,1081
127,7.41,,Evelina LISENCO,04 FEB 1975,ROU,1,,Bucureşti (ROU) (i),23 FEB 2003,1081
127,7.41,,Vida ANIM,07 DEC 1983,GHA,1,,Dortmund (GER) (i),23 FEB 2003,1081
127,7.41,,Diane ALLAHGREEN-HAWKINS,21 FEB 1975,GBR,2h2,,Birmingham (GBR) (i),01 MAR 2003,1081
127,7.41,,Marria DARDEN,,USA,1,,Alamaosa (USA) (i),06 DEC 2003,1081
136,7.42,,Jennifer WILSON,26 JUN 1976,USA,1,,"New York, NY (USA) (i)",24 JAN 2003,1078
136,7.42,,Marina KORDA,17 JUL 1980,GRE,1,,Athina (GRE) (i),25 JAN 2003,1078
136,7.42,,LaToya WHITE,07 FEB 1983,USA,2h4,,"Fayetteville, AR (USA) (i)",14 FEB 2003,1078
136,7.42,,Allyson FELIX,18 NOV 1985,USA,3,,"Pocatello, ID (USA) (i)",15 FEB 2003,1078
