Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
84,32:37.51,,Yoshiko FUJINAGA,15 AUG 1981,JPN,5,,Fukagawa (JPN),11 JUL 2007,1106
85,32:37.98,,Elva DRYER,26 SEP 1971,USA,13,,"Palo Alto, CA (USA)",29 APR 2007,1106
86,32:38.61,,Marina HAGA,12 JUL 1983,JPN,17,,Kobe (JPN),22 APR 2007,1105
87,32:39.18,,Chengcheng JIANG,05 NOV 1986,CHN,3,,Urumqi (CHN),20 SEP 2007,1105
88,32:39.29,,Mai ENDO,22 DEC 1986,JPN,18,,Kobe (JPN),22 APR 2007,1105
89,32:39.38,,Yanan WEI,06 DEC 1981,CHN,4,,Hyderabad (IND),15 OCT 2007,1105
90,32:40.58,,Maria Elena VALENCIA JIMÉNEZ,25 MAY 1983,MEX,1,,"Walnut, CA (USA)",13 APR 2007,1104
91,32:41.11,,Zakia Mrisho MOHAMED,19 FEB 1984,TAN,1,,Soffiano (ITA),29 APR 2007,1103
92,32:42.95,,Irina MIKITENKO,23 AUG 1972,GER,2,,Zeulenroda (GER),05 MAY 2007,1101
93,32:43.00,,Yurika NAKAMURA,01 APR 1986,JPN,1,,Miyoshi (JPN),12 MAY 2007,1101
94,32:43.2h,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,1,,Riga (LAT),16 SEP 2007,1101
95,32:43.31,,Tiki GELANA,22 OCT 1987,ETH,6,,Fukagawa (JPN),11 JUL 2007,1101
96,32:44.13,,Chunxiu ZHOU,15 NOV 1978,CHN,4,,Suzhou (CHN),09 JUN 2007,1100
97,32:45.39,,Kei TERADA,27 MAR 1985,JPN,2,,Miyoshi (JPN),12 MAY 2007,1099
98,32:45.94,,Aine HOBAN,13 JUL 1984,GBR,2,,"Palo Alto, CA (USA)",30 MAR 2007,1099
99,32:46.28,,Ikumi WAKAMATSU,22 JUN 1974,JPN,7,,Fukagawa (JPN),11 JUL 2007,1099
100,32:46.3h,,Natalya SERGEYEVA,04 SEP 1984,RUS,2,,Zhukovskiy (RUS),29 APR 2007,1099
101,32:47.5h,,Magdalene CHEMJOR,12 NOV 1978,KEN,4,,Nairobi (KEN),28 JUL 2007,1098
102,32:47.96,,Hayley HAINING,06 MAR 1972,GBR,2,,Watford (GBR),30 JUN 2007,1097
103,32:47.98,,Philomena CHEYECH,05 JUL 1982,KEN,6,,Kobe (JPN),13 OCT 2007,1097
104,32:48.71,,Ikuyo YAMASHITA,17 JUN 1985,JPN,5,,Kumagaya (JPN),20 MAY 2007,1096
105,32:48.92,,Kazue OGOSHI,02 MAR 1981,JPN,1,,Kushiro (JPN),03 JUN 2007,1096
106,32:49.72,,Remi NAKASATO,24 JUN 1988,JPN,2,,Kushiro (JPN),03 JUN 2007,1096
107,32:50.63,,Alicia CRAIG,14 JUN 1982,USA,4,,"Indianapolis, IN (USA)",21 JUN 2007,1095
108,32:52.34,,Yuki KAZAMA,29 NOV 1985,JPN,7,,Shizuoka (JPN),30 APR 2007,1093
109,32:52.39,,Yukari SAHAKU,05 NOV 1988,JPN,6,,Kumagaya (JPN),20 MAY 2007,1093
110,32:53.02,,Yukako GOTO,16 SEP 1973,JPN,8,,Shizuoka (JPN),30 APR 2007,1093
111,32:53.13,,Haruko OKAMOTO,19 AUG 1974,JPN,8,,Fukagawa (JPN),11 JUL 2007,1093
112,32:54.00,,Chaofeng JIA,16 NOV 1988,CHN,8,,Wuhan (CHN),02 NOV 2007,1092
113,32:54.29,,Yesenia CENTENO,27 JUN 1971,ESP,2,,Avilés (ESP),28 JUL 2007,1092
114,32:54.41,,Sara SLATTERY,02 OCT 1981,USA,1,,Rio de Janeiro (BRA),23 JUL 2007,1092
115,32:55.10,,Lidia CHOJECKA,25 JAN 1977,POL,1,,Warszawa (POL),05 MAY 2007,1091
116,32:55.11,,Ryoko KIZAKI,21 JUN 1985,JPN,2,,Bangkok (THA),09 AUG 2007,1091
117,32:55.94,,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,16,,"Yanmar Stadium Nagai, Osaka (JPN)",25 AUG 2007,1090
118,32:56.62,,Miki OHIRA,28 JUN 1981,JPN,7,,Kumagaya (JPN),20 MAY 2007,1090
119,32:57.53,,Ayumi HASHIMOTO,17 JUN 1983,JPN,19,,Kobe (JPN),22 APR 2007,1089
120,32:58.20,,Michelle SIKES,27 FEB 1985,USA,1,,"College Park, MD (USA)",19 APR 2007,1088
121,32:58.3h,,Olga ROSSEYEVA,01 AUG 1981,RUS,3,,Zhukovskiy (RUS),29 APR 2007,1088
122,32:59.1h,,Rashida KHAYRUTDINOVA,10 JUL 1975,RUS,4,,Zhukovskiy (RUS),29 APR 2007,1087
123,32:59.4h,,Alina PROKOPEVA,16 AUG 1985,RUS,5,,Zhukovskiy (RUS),29 APR 2007,1087
124,32:59.88,,Yuanyuan JIANG,20 DEC 1986,CHN,6,,Suzhou (CHN),09 JUN 2007,1087
125,33:00.23,,Qiuhong XI,04 SEP 1984,CHN,7,,Suzhou (CHN),09 JUN 2007,1086
126,33:01.30,,Madoka OGI,26 OCT 1983,JPN,8,,Osaka (JPN),29 JUN 2007,1086
127,33:01.56,,Melissa GRELLI,,USA,2,,"Sacramento, CA (USA)",07 JUN 2007,1085
128,33:05.42,,Norie TAKAHASHI,22 APR 1980,JPN,20,,Kobe (JPN),22 APR 2007,1082
129,33:05.79,,Fatna MARAOUI,10 JUL 1977,ITA,6,,Ferrara (ITA),07 APR 2007,1082
130,33:06.07,,Yanmei ZHU,16 OCT 1986,CHN,1,,Guangzhou (CHN),25 JUL 2007,1081
131,33:06.23,,Whitney MCDONALD,18 AUG 1985,USA,3,,"Palo Alto, CA (USA)",30 MAR 2007,1081
132,33:06.37,,Volha MININA,03 NOV 1985,BLR,1,,"Gyulai István Atlétika Stadion, Debrecen (HUN)",13 JUL 2007,1081
133,33:07.42,,Valentina LEVUSHKINA,30 APR 1982,RUS,10,,Zhukovskiy (RUS),14 JUL 2007,1080
134,33:08.69,,Irina SERGEYEVA,26 DEC 1987,RUS,2,,"Gyulai István Atlétika Stadion, Debrecen (HUN)",13 JUL 2007,1079
135,33:08.89,,Harumi HIROYAMA-SUZUKI,02 SEP 1968,JPN,9,,Osaka (JPN),29 JUN 2007,1079
136,33:09.0h,,Millicent GATHONI,12 APR 1986,KEN,6,,Nairobi (KEN),28 JUL 2007,1079
137,33:09.19,,Isabel CHECA,27 DEC 1982,ESP,7,,Ferrara (ITA),07 APR 2007,1079
138,33:09.27,,Molly HUDDLE,31 AUG 1984,USA,6,,"Indianapolis, IN (USA)",21 JUN 2007,1079
139,33:09.38,,Xiaoqin DONG,02 JAN 1983,CHN,8,,Suzhou (CHN),09 JUN 2007,1079
140,33:09.83,,Emma Muthoni KARIUKI,04 JAN 1981,KEN,,,Heidelberg (GER),21 APR 2007,1078
141,33:11.23,,Julia LUCAS,04 MAR 1984,USA,2,,"College Park, MD (USA)",19 APR 2007,1077
142,33:11.44,,Mariko NAKAO,24 AUG 1984,JPN,10,,Fukagawa (JPN),11 JUL 2007,1077
143,33:11.73,,Ednalva Lauriano DA SILVA,10 DEC 1976,BRA,1,,São Paulo (BRA),20 JUN 2007,1077
144,33:12.08,,Paula TODORAN,09 JUN 1985,ROU,4,,"Gyulai István Atlétika Stadion, Debrecen (HUN)",13 JUL 2007,1076
145,33:13.05,,Oksana BELYAKOVA,09 SEP 1975,RUS,11,,Zhukovskiy (RUS),14 JUL 2007,1075
146,33:13.51,,Yumi HIRATA,22 JUN 1981,JPN,11,,Fukagawa (JPN),11 JUL 2007,1075
147,33:14.24,,Yumiko HARA,09 JAN 1982,JPN,12,,Osaka (JPN),29 JUN 2007,1074
148,33:14.97,,Silvia SOMMAGGIO,20 NOV 1969,ITA,8,,Ferrara (ITA),07 APR 2007,1074
149,33:15.44,,Michelle ROSS-COPE,31 JAN 1972,GBR,3,,Watford (GBR),30 JUN 2007,1073
150,33:15.85,,Silviya SKVORTSOVA,16 NOV 1974,RUS,12,,Zhukovskiy (RUS),14 JUL 2007,1073
151,33:16.12,,Lindsey OLSON-ANDERSON,23 MAY 1985,USA,4,,"Palo Alto, CA (USA)",30 MAR 2007,1073
152,33:16.85,,Mai ITO,23 MAY 1984,JPN,21,,Kobe (JPN),22 APR 2007,1072
153,33:18.84,,Samia AKBAR,31 DEC 1981,USA,14,,"Palo Alto, CA (USA)",29 APR 2007,1070
154,33:18.91,,Jo WILKINSON,02 MAY 1973,GBR,4,,Watford (GBR),30 JUN 2007,1070
155,33:19.48,,Lucélia DE OLIVEIRA PERES,26 AUG 1981,BRA,3,,Rio de Janeiro (BRA),23 JUL 2007,1070
156,33:19.71,,Preeja SREEDHARAN,13 MAR 1982,IND,1,,Kolkata (IND),13 MAY 2007,1070
157,33:19.75,,Renate RUNGGER,06 SEP 1979,ITA,9,,Ferrara (ITA),07 APR 2007,1070
158,33:20.43,,Karima Saleh JASSEM,18 FEB 1988,BRN,6,,Hyderabad (IND),15 OCT 2007,1069
159,33:20.55,,Hui JO PUN,27 NOV 1979,PRK,3,,Bangkok (THA),09 AUG 2007,1069
160,33:20.83,,Jennifer CRAIN,12 FEB 1968,USA,5,,"Palo Alto, CA (USA)",30 MAR 2007,1069
161,33:21.63,,Jill SWOPE,24 APR 1984,USA,6,,"Palo Alto, CA (USA)",30 MAR 2007,1068
162,33:22.7h,,Joska OBARE,1978,KEN,1,,Nairobi (KEN),26 MAY 2007,1067
163,33:23.33,,Stephanie BRUCE,14 JAN 1984,USA,5,,"Sacramento, CA (USA)",07 JUN 2007,1067
164,33:24.49,,Nami KUROSAWA,26 DEC 1978,JPN,2,,Amagasaki (JPN),18 MAY 2007,1066
165,33:24.87,,Furtuna ZEGERGISH,1989,ERI,6,,Algiers (ALG),21 JUL 2007,1065
166,33:24.9h,,Rebecca KIPSANG,,KEN,1,,Eldoret (KEN),09 JUN 2007,1065
167,33:25.28,,Weiwei SUN,13 JAN 1985,CHN,10,,Suzhou (CHN),09 JUN 2007,1065
168,33:25.44,,Jinxue CHANG,09 MAR 1988,CHN,9,,Wuhan (CHN),02 NOV 2007,1065
169,33:26.33,,Ho-sun PARK,17 NOV 1986,KOR,4,,Kushiro (JPN),03 JUN 2007,1064
170,33:26.61,,Emily MCCABE,12 MAY 1983,USA,15,,"Palo Alto, CA (USA)",29 APR 2007,1064
171,33:26.95,,Gloria MARCONI,31 MAR 1968,ITA,1,,Padova (ITA),28 JUL 2007,1064
172,33:27.0h,,Edna Ngeringwony KIPLAGAT,15 NOV 1979,KEN,3,,Nairobi (KEN),15 JUN 2007,1064
173,33:27.6h,,Catherine NDEREBA,21 JUL 1972,KEN,4,,Nairobi (KEN),15 JUN 2007,1063
174,33:28.07,,Kirsten Melkevik OTTERBU,29 MAY 1970,NOR,1,,Bergen (NOR),12 SEP 2007,1063
175,33:29.43,,María Elena MORENO,14 MAR 1979,ESP,10,,Ferrara (ITA),07 APR 2007,1061
176,33:29.45,,Nicole JEFFERSON-AISH,08 MAR 1976,USA,16,,"Palo Alto, CA (USA)",29 APR 2007,1061
177,33:30.12,,Sally MEYERHOFF,27 DEC 1983,USA,9,,"Palo Alto, CA (USA)",30 MAR 2007,1061
178,33:30.13,,Megan LEWIS,07 OCT 1985,USA,10,,"Palo Alto, CA (USA)",30 MAR 2007,1061
179,33:30.29,,Diane NUKURI,01 DEC 1984,BDI,7,,"Sacramento, CA (USA)",07 JUN 2007,1061
180,33:30.52,,Beth WIGHTMAN,30 JUN 1981,CAN,1,,Abbotsford (CAN),10 JUN 2007,1061
181,33:31.03,,Heather GIBSON,05 DEC 1979,USA,17,,"Palo Alto, CA (USA)",29 APR 2007,1060
182,33:31.42,,Cack FERRELL,21 JUN 1984,USA,1,,"Eugene, OR (USA)",20 APR 2007,1060
183,33:32.55,,Anastasiya PODALYNSKAYA,14 MAR 1992,BLR,2,,Minsk (BLR),14 JUN 2007,1059
184,33:32.96,,Kathy NEWBERRY,31 AUG 1978,USA,1,,"Hillsdale, MI (USA)",10 JUN 2007,1058
184,33:32.96,,Tatyana ARYASOVA,02 APR 1979,RUS,14,,Zhukovskiy (RUS),14 JUL 2007,1058
186,33:34.26,,Alessandra AGUILAR,01 JUL 1978,ESP,3,,Avilés (ESP),28 JUL 2007,1057
187,33:34.54,,Chong ZHANG,16 MAR 1984,CHN,11,,Suzhou (CHN),09 JUN 2007,1057
188,33:35.50,,Tetyana KRIVOBOK-MEZENTSEVA,17 JAN 1972,UKR,2,,Donetsk (UKR),04 JUL 2007,1056
189,33:35.79,,Yoshiko HOSOKAWA,17 AUG 1981,JPN,22,,Kobe (JPN),22 APR 2007,1056
190,33:36.03,,Karina PÉREZ,04 OCT 1982,MEX,3,,Abbotsford (CAN),10 JUN 2007,1056
191,33:36.17,,Inés MELCHOR,30 AUG 1986,PER,5,,Rio de Janeiro (BRA),23 JUL 2007,1056
192,33:36.2h,,Hellen Nzembi MUSYOKA,03 JAN 1987,KEN,6,,Nairobi (KEN),15 JUN 2007,1056
193,33:36.34,,Noriko HIGUCHI,23 MAY 1985,JPN,1,,Konosu (JPN),20 MAY 2007,1056
194,33:36.60,,Junli ZHANG,09 MAY 1990,CHN,10,,Wuhan (CHN),02 NOV 2007,1055
195,33:37.11,,Rebecca DONAGHUE,24 FEB 1976,USA,2,,"Hillsdale, MI (USA)",10 JUN 2007,1055
196,33:37.19,,Yuko MACHIDA,11 AUG 1980,JPN,7,,Kushiro (JPN),03 JUN 2007,1055
197,33:37.50,,Miho NOTAGASHIRA,17 AUG 1983,JPN,3,,Amagasaki (JPN),18 MAY 2007,1055
198,33:37.70,,Katarzyna KOWALSKA,07 APR 1985,POL,2,,Warszawa (POL),05 MAY 2007,1054
199,33:38.92,,Qian SU,04 NOV 1988,CHN,11,,Wuhan (CHN),02 NOV 2007,1053
200,33:39.42,,Misaki KATSUMATA,26 DEC 1985,JPN,23,,Kobe (JPN),22 APR 2007,1053
201,33:41.34,,Yuri KANO,27 OCT 1978,JPN,12,,Shizuoka (JPN),30 APR 2007,1051
202,33:41.59,,Claudia PINNA,04 DEC 1977,ITA,3,,Padova (ITA),28 JUL 2007,1051
203,33:41.66,,Guiying BAO,20 JAN 1986,CHN,12,,Suzhou (CHN),09 JUN 2007,1051
204,33:43.21,,Helena JAVORNIK,26 MAR 1966,SLO,7,,Hyderabad (IND),15 OCT 2007,1050
205,33:43.95,,Yukari SO,20 APR 1984,JPN,14,,Fukagawa (JPN),11 JUL 2007,1049
206,33:44.34,,Mirja MOSER-JENNI,10 APR 1976,SUI,8,,Utrecht (NED),17 MAY 2007,1049
207,33:44.61,,Salome KOSGEI,03 SEP 1980,KEN,13,,"Palo Alto, CA (USA)",30 MAR 2007,1049
208,33:45.22,,Yekaterina PRILADNYKH,02 MAY 1974,RUS,15,,Zhukovskiy (RUS),14 JUL 2007,1048
209,33:45.91,,Soon-duk KANG,29 OCT 1974,KOR,1,,Gwangju (KOR),12 OCT 2007,1047
210,33:46.05,,Gemma MILES,27 OCT 1980,GBR,5,,Watford (GBR),30 JUN 2007,1047
211,33:46.47,,Veronicah KANYI,06 FEB 1988,KEN,1,,Tokyo (JPN),19 MAY 2007,1047
212,33:46.69,,Jessica GALL-MYRICK,06 AUG 1984,USA,9,,"Sacramento, CA (USA)",07 JUN 2007,1047
213,33:46.77,,Rina NOMURA,31 MAY 1983,JPN,15,,Fukagawa (JPN),11 JUL 2007,1047
214,33:47.09,,Mariko SUSUKI,15 SEP 1985,JPN,2,,Tokyo (JPN),19 MAY 2007,1046
215,33:47.55,,Eun-jung LEE,21 APR 1981,KOR,2,,Gwangju (KOR),12 OCT 2007,1046
216,33:49.14,,Yuko NANBA,,JPN,3,,Tokyo (JPN),19 MAY 2007,1045
217,33:49.90,,Marta WOJTKUŃSKA,15 NOV 1985,POL,3,,Warszawa (POL),05 MAY 2007,1044
218,33:50.80,,Alevtina BIKTIMIROVA,10 SEP 1982,RUS,16,,Zhukovskiy (RUS),14 JUL 2007,1043
219,33:51.27,,Angeline NYIRANSABIMANA,10 JAN 1985,RWA,7,,Algiers (ALG),21 JUL 2007,1043
220,33:51.94,,Erin WEBSTER,11 NOV 1985,USA,18,,"Palo Alto, CA (USA)",29 APR 2007,1042
221,33:52.69,,Anke VAN CAMPEN,28 JUN 1984,BEL,9,,Utrecht (NED),17 MAY 2007,1042
222,33:52.73,,Tara STORAGE,27 JUL 1981,USA,9,,"Indianapolis, IN (USA)",21 JUN 2007,1042
223,33:52.95,,Maddie MCKEEVER,06 FEB 1987,USA,14,,"Palo Alto, CA (USA)",30 MAR 2007,1041
224,33:53.21,,Terra MOODY,18 DEC 1980,USA,2,,"Eugene, OR (USA)",20 APR 2007,1041
225,33:53.27,,Renee GUNNING,08 JAN 1982,USA,1,,"Philadelphia, PA (USA)",26 APR 2007,1041
225,33:53.27,,Melissa WHITE,15 APR 1982,USA,3,,"Hillsdale, MI (USA)",10 JUN 2007,1041
227,33:53.32,,Kara SCANLIN,15 JUL 1983,USA,3,,"College Park, MD (USA)",19 APR 2007,1041
228,33:53.33,,Yingjie ZHANG,06 OCT 1986,CHN,14,,Suzhou (CHN),09 JUN 2007,1041
229,33:53.61,,Denise BARGIACHI,05 MAR 1987,USA,15,,"Palo Alto, CA (USA)",30 MAR 2007,1041
230,33:53.73,,Rachel PAPIN,,USA,16,,"Palo Alto, CA (USA)",30 MAR 2007,1041
231,33:53.81,,Yui SAKAI,19 JAN 1988,JPN,4,,Tokyo (JPN),19 MAY 2007,1041
232,33:54.55,,Keara SAMMONS,,USA,17,,"Palo Alto, CA (USA)",30 MAR 2007,1040
233,33:54.92,,Katie READ,,USA,10,,"Sacramento, CA (USA)",07 JUN 2007,1040
