Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
67,31:51.53,,Meraf BAHTA,24 JUN 1989,SWE,19,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1147
68,31:52.11,,Vanessa FRASER,27 JUL 1995,USA,13,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1146
69,31:55.60,,Valeriia ZINENKO,06 NOV 1995,UKR,7,,"Olympiastadion, München (GER)",15 AUG 2022,1143
70,31:55.61,,Caroline SANG,,USA,13,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1143
71,31:55.79,,Agate CAUNE,07 AUG 2004,LAT,1,,"Jāņa Daliņa Stadium, Valmiera (LAT)",31 AUG 2022,1143
72,31:56.38,,Susanna SULLIVAN,13 MAY 1990,USA,5,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1142
73,31:57.01,,Olivia PRATT,21 JAN 1994,USA,6,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1142
74,31:57.81,,Momoka KAWAGUCHI,28 JUN 1998,JPN,2f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1141
75,31:57.85,,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",09 APR 2022,1141
76,31:58.59,,Wakana ITSUKI,07 APR 1994,JPN,3f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1140
77,31:58.88,,Marielle HALL,28 JAN 1992,USA,14,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1140
78,31:59.44,,Makena MORLEY,21 NOV 1996,USA,15,,"Hayward Field, Eugene, OR (USA)",27 MAY 2022,1140
79,31:59.49,,Jeralyn POE,,USA,8,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1140
80,31:59.60,,Yuka TAKASHIMA,12 MAY 1988,JPN,4f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1139
81,32:00.42,,Lilian Jepkorir CHEBII,02 JUN 1994,KEN,3,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",09 APR 2022,1139
82,32:01.25,,Hina YANAGITANI,21 FEB 2000,JPN,5f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1138
83,32:01.28,,Maddie ALM,09 JAN 1993,USA,14,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1138
84,32:01.52,,Laura THWEATT,17 DEC 1988,USA,15,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1138
85,32:02.00,,Asnakesh AWOKE,01 NOV 1995,ETH,21,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1137
86,32:02.53,,Irine Jepchumba KIMAIS,10 OCT 1998,KEN,5,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",24 JUN 2022,1137
87,32:02.70,,Caroline NYAGA,07 OCT 1993,KEN,6,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",24 JUN 2022,1137
88,32:03.48,,Naruha SATO,03 OCT 1997,JPN,6f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1136
89,32:03.80,,Desta BURKA,17 APR 2001,ETH,1f1,,"Nagaragawa Stadium, Gifu (JPN)",23 SEP 2022,1136
90,32:03.88,,Katharina STEINRUCK,22 AUG 1989,GER,3f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1136
91,32:05.78,,Amy DAVIS,15 FEB 1997,USA,16,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1134
