Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
131,46.82,,Lucas CARVALHO,16 JUL 1993,BRA,3h2,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1119
133,46.83,,Nathan KENT,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",25 FEB 2024,1118
134,46.84,,Jared MCALVEY,19 MAY 2001,USA,2f1,,"The Podium, Spokane, WA (USA) (i)",27 JAN 2024,1118
134,46.84,,Christopher BRINKLEY,2003,USA,2f2,,"Convention Center, Albuquerque, NM (USA) (i)",03 FEB 2024,1118
134,46.84,,Maksymilian SZWED,06 AUG 2004,POL,1h2,,"Arena, Toruń (POL) (i)",17 FEB 2024,1118
134,46.84,,David GARCÍA,06 JUN 2005,ESP,1,,"Pista Cubierta Carlos Gil Perez, Salamanca (ESP) (i)",10 MAR 2024,1118
134,46.84,,Tianqi JU,27 MAR 2002,CHN,1f1,,"Shandong Sports Training Center, Jinan (CHN) (i)",13 MAR 2024,1118
139,46.85,,Charlie CARVELL,30 JUN 2004,GBR,1f5,,"National Indoor Arena, Abbotstown, Dublin (IRL) (i)",07 FEB 2024,1117
139,46.85,,Michael FRANCOIS,02 JUL 1999,GRN,1f9,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1117
141,46.86,,Franko BURRAJ,19 AUG 1998,ALB,4h2,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1116
142,46.87,,Jayden DOUGLAS,2005,USA,1f5,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1116
142,46.87,,Shevioe REID,14 DEC 2000,JAM,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2024,1116
144,46.88,,Thomas BARR,24 JUL 1992,IRL,1f4,,"National Indoor Arena, Abbotstown, Dublin (IRL) (i)",07 FEB 2024,1115
144,46.88,,Jamel MILLER,19 JUL 2000,JAM,3f13,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1115
144,46.88,,Jalon WHITE,09 JUL 2000,CAN,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,1115
144,46.88,,Dakarai BUSH,,USA,1f1,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",09 MAR 2024,1115
148,46.89,,Simone BARONTINI,05 JAN 1999,ITA,1f1,,"Palaindoor Ancona, Ancona (ITA) (i)",28 JAN 2024,1114
148,46.89,,Taahir KELLY,,USA,2f2,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1114
148,46.89,,Jayson WARD,11 APR 2004,USA,2h9,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1114
148,46.89,,Tom WILLEMS,19 OCT 2000,AUS,3,,"Convention Center, Albuquerque, NM (USA) (i)",24 FEB 2024,1114
152,46.90,,Brodie YOUNG,28 FEB 2003,GBR,4,,"Convention Center, Albuquerque, NM (USA) (i)",24 FEB 2024,1114
153,46.91,,Sorin Alexandru VOINEA,18 AUG 2003,ROU,3f3,,"Ataköy Arena, Istanbul (TUR) (i)",10 FEB 2024,1113
154,46.92,,Josh PUGH,,USA,1f11,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",09 FEB 2024,1112
154,46.92,,Shemar CHAMBERS,06 MAY 1999,JAM,2f2,,"Armory Track&Field Center, New York, NY (USA) (i)",23 FEB 2024,1112
154,46.92,,Clement DUCOS,04 MAR 2001,FRA,3h7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1112
157,46.93,,Dillon BEDELL-BASS,,USA,3h9,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1112
158,46.94,,James MILHOLEN,19 JUN 1999,USA,1f1,,"Convention Center, Albuquerque, NM (USA) (i)",26 JAN 2024,1111
158,46.94,,Lucas BÚA,12 JAN 1994,ESP,1f1,,"Pista Cubierta Carlos Gil Perez, Salamanca (ESP) (i)",03 FEB 2024,1111
158,46.94,,Oskar EDLUND,16 NOV 2002,SWE,2f5,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1111
158,46.94,,Danil VESHNYAKOV,30 JUN 2001,RUS,3,,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1111
162,46.95,,Ericsson TAVARES,29 JAN 2001,POR,2f1,,"Track & Field complex QAZAQSTAN, Astana (KAZ) (i)",27 JAN 2024,1110
162,46.95,,Sema'J DANIELS,04 OCT 2001,USA,2h5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1110
162,46.95,,Lance JENSEN,,USA,1f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",09 MAR 2024,1110
165,46.96,,Daviciea MCCARTNEY,,USA,1f3,,"Convention Center, Albuquerque, NM (USA) (i)",27 JAN 2024,1110
165,46.96,,Tahj HAMM,09 MAR 2004,JAM,3f5,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",09 FEB 2024,1110
165,46.96,,Riccardo MELI,15 APR 2001,ITA,2,,"Palaindoor Ancona, Ancona (ITA) (i)",18 FEB 2024,1110
