Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
74,7:49.76,,Clayton YOUNG,14 SEP 1993,USA,4f4,,"Seattle, WA (USA) (i)",28 JAN 2017,0
75,7:49.92,,Richard RINGER,27 FEB 1989,GER,6,,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1116
76,7:49.93,,John GREGOREK,07 DEC 1991,USA,3f2,,"New York, NY (USA) (i)",28 JAN 2017,1139
77,7:50.26,,Reid BUCHANAN,03 FEB 1993,USA,1f1,,Cork (IRL),18 JUL 2017,1114
78,7:50.47,,Collis BIRMINGHAM,27 DEC 1984,AUS,2f1,,Cork (IRL),18 JUL 2017,1112
79,7:50.54,,Vincent KIBET,06 MAY 1991,KEN,12,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",16 JUL 2017,1112
80,7:50.55,,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,5,,Kingston (JAM),10 JUN 2017,1112
81,7:50.64,,Stanley Waithaka MBURU,09 APR 2000,KEN,3,,"Kasarani, Nairobi (KEN)",16 JUL 2017,1111
82,7:50.65,,Alfred BARKACH,02 MAR 1997,KEN,6,,Kingston (JAM),10 JUN 2017,1111
83,7:50.68,,Bernard MUIA,26 MAY 1995,KEN,1f5,,Setagaya (JPN),08 APR 2017,1111
84,7:50.78,,Marouan RAZINE,09 APR 1991,ITA,2f1,,Sabadell (ESP) (i),07 FEB 2017,1134
85,7:51.05,,Debeli GEZMU,14 APR 1996,ETH,8,,"Reggie Lewis Center, Boston, MA (USA) (i)",28 JAN 2017,1132
86,7:51.12,,Anthony ROTICH,20 OCT 1990,USA,4,,"New York, NY (USA)",06 JUL 2017,1108
87,7:51.17,,Cornelius KANGOGO,15 DEC 1993,KEN,1f1,,Göteborg (SWE),11 JUL 2017,1108
88,7:51.19,,Morgan MCDONALD,23 APR 1996,AUS,2,,"New York, NY (USA) (i)",04 FEB 2017,1131
89,7:51.20,,Jack KEELAN,02 FEB 1995,USA,4f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
90,7:51.21,,Erik PETERSON,15 JUN 1994,USA,1f3,,"South Bend, IN (USA) (i)",04 FEB 2017,0
91,7:51.26,,Simon DEBOGNIES,16 JUL 1996,BEL,1f1,,Huizingen (BEL),10 JUN 2017,1108
92,7:51.39,,Jakub HOLUŠA,20 FEB 1988,CZE,1,,Montgeron (FRA),14 MAY 2017,1107
93,7:51.41,,Leonard KORIR,10 DEC 1986,USA,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1107
94,7:51.43,,Joe KLECKER,16 NOV 1996,USA,1f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
95,7:51.44,,John DRESSEL,02 MAY 1997,USA,1f2,,"Seattle, WA (USA) (i)",25 FEB 2017,0
96,7:51.48,,Amos KIRUI,09 FEB 1998,KEN,2f5,,Setagaya (JPN),08 APR 2017,1106
96,7:51.48,,Altobeli SILVA,03 DEC 1990,BRA,1,,Nembro (ITA),07 JUL 2017,1106
98,7:51.51,,Scott CARPENTER,19 DEC 1994,USA,5f1,,"Ames, IA (USA) (i)",10 FEB 2017,0
99,7:51.54,,Soufiane EL BAKKALI,07 JAN 1996,MAR,3,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER) (i)",01 FEB 2017,1129
100,7:51.55,,Geoffrey KAMWOROR,22 NOV 1992,KEN,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1106
101,7:51.74,,Stephen SAMBU,07 JUL 1988,KEN,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1105
102,7:51.90,,Andrew HUNTER,05 SEP 1997,USA,3,,"New York, NY (USA) (i)",04 FEB 2017,1127
103,7:52.03,,Hiko Tonosa HASO,09 OCT 1995,ETH,3f1,,Cork (IRL),18 JUL 2017,1103
104,7:52.04,,Mason FERLIC,05 AUG 1993,USA,5,,"New York, NY (USA)",06 JUL 2017,1103
105,7:52.07,,Caleb HOOVER,22 JUL 1992,USA,1,,"Cambridge, MA (USA) (i)",19 FEB 2017,1126
