Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
117,10:15.24,,Sonia THOMAS-SAMUELS,16 MAY 1979,GBR,3,,Watford (GBR),11 JUN 2005,1059
118,10:15.38,,Fanny PRUVOST,21 MAY 1979,FRA,4,,Ninove (BEL),30 JUL 2005,1058
119,10:15.47,,Olga DEREVYEVA,05 APR 1985,RUS,3,,Sochi (RUS),26 MAY 2005,1058
120,10:15.59,,Tara KRZYWICKI,09 MAR 1974,GBR,4,,Watford (GBR),11 JUN 2005,1058
121,10:15.89,,Petra FOUSKOVÁ,04 NOV 1981,CZE,2,,Caslav (CZE),17 SEP 2005,1057
122,10:16.26,,Jolanda VERSTRATEN,26 JUN 1983,NED,3,,Uden (NED),25 JUN 2005,1056
123,10:16.5h,,Patricia Fernanda LOBO,06 NOV 1983,BRA,2,,Fortaleza (BRA),09 DEC 2005,1056
124,10:16.59,,Christine BARDELLE,16 AUG 1974,FRA,2,,Bordeaux (FRA),08 JUN 2005,1055
125,10:16.6h,,Ruth WAITHERA,1990,KEN,7,,Nairobi (KEN),18 JUN 2005,1055
126,10:16.71,,Lucinda HULL,02 OCT 1981,USA,7,,"Carson, CA (USA)",26 JUN 2005,1055
127,10:16.81,,Claire ENTWISTLE,09 DEC 1976,GBR,3,,Manchester (GBR),10 JUL 2005,1055
128,10:17.31,,Rebecca FORLONG,13 JUL 1986,NZL,1,,London (GBR),06 AUG 2005,1054
129,10:17.38,,Anna HAY,14 OCT 1985,USA,3,,"Tallahassee, FL (USA)",22 APR 2005,1054
130,10:17.40,,Eszter ERDÉLYI,25 MAY 1982,HUN,2,,Debrecen (HUN),06 JUL 2005,1054
131,10:17.51,,Jeane GOFF,01 DEC 1983,USA,2,,"Eugene, OR (USA)",28 MAY 2005,1053
132,10:17.56,,Anni TUIMALA,27 APR 1982,FIN,1,,Pori (FIN),16 JUL 2005,1053
133,10:17.70,,Maureen SCOTT,08 OCT 1983,USA,15h1,,"Sacramento, CA (USA)",08 JUN 2005,1053
134,10:17.76,,Mihaela Maria BOTEZAN-PRUNDUS,21 NOV 1976,ROU,10,,Doha (QAT),13 MAY 2005,1053
135,10:18.15,,Kathleen TROTTER,04 APR 1985,USA,1,,"Palo Alto, CA (USA)",23 APR 2005,1052
136,10:18.3h,,Eunice Jepkirui KIRWA,20 MAY 1984,KEN,1,,Kakamega (KEN),19 MAR 2005,1051
137,10:18.31,,Tegla LOROUPE,09 MAY 1973,KEN,12,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1051
138,10:18.46,,Yekaterina SOKOLOVA,1988,BLR,1,,Minsk (BLR),24 JUN 2005,1051
139,10:18.57,,Angéla STANEK,05 APR 1985,POL,2,,Kraków (POL),28 AUG 2005,1051
140,10:18.59,,Kelly SIEFKER,29 MAR 1984,USA,16h1,,"Sacramento, CA (USA)",08 JUN 2005,1051
141,10:18.62,,Yuliya IGNATOVA,30 JUL 1983,UKR,3,,Kyiv (UKR),02 JUL 2005,1051
142,10:19.0h,,Eunice JEPKORIR,17 FEB 1982,KEN,8,,Nairobi (KEN),18 JUN 2005,1050
