Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
92,8:34.7h,,Erick Kipkoech ROTICH,14 APR 1983,KEN,7,,Nairobi (KEN),25 JUN 2009,1101
93,8:34.76,,Hicham SADOUK,18 MAY 1984,MAR,10,,Rabat (MAR),23 MAY 2009,1101
94,8:34.85,,Brian OLINGER,02 JUN 1983,USA,2h2,,"Eugene, OR (USA)",25 JUN 2009,1101
95,8:34.95,,Yoshitaka IWAMIZU,20 JUN 1979,JPN,2,,Sapporo (JPN),06 JUN 2009,1100
96,8:35.04,,Hassan OUBASSOUR,20 JUL 1980,FRA,7,,Metz (FRA),03 JUL 2009,1100
97,8:35.12,,Hillary BOR,22 NOV 1989,KEN,2,,"Fayetteville, AR (USA)",12 JUN 2009,1100
97,8:35.12,,Tom KLOOS,08 SEP 1977,USA,5h2,,"Eugene, OR (USA)",25 JUN 2009,1100
99,8:35.19,,Hiroyoshi UMEGAE,05 JAN 1984,JPN,3,,Sapporo (JPN),06 JUN 2009,1099
100,8:35.21,,Takayuki MATSUURA,16 DEC 1985,JPN,1,,Niigata (JPN),05 OCT 2009,1099
101,8:35.23,,Andrey OLSHANSKIY,24 JAN 1978,RUS,8,,Moskva (RUS),01 JUL 2009,1099
102,8:35.43,,Edwin MOLEPE,31 MAY 1987,RSA,7,,Beograd (SRB),11 JUL 2009,1098
103,8:35.49,,Stephen LISGO,29 MAR 1987,GBR,3,,"Fayetteville, AR (USA)",12 JUN 2009,1098
104,8:35.51,,Yusuf Kibet BIWOTT,12 NOV 1986,KEN,10,,Stockholm (SWE),31 JUL 2009,1098
105,8:35.72,,Aoi MATSUMOTO,07 SEP 1987,JPN,2,,Niigata (JPN),05 OCT 2009,1097
106,8:35.76,,Hubert POKROP,02 NOV 1985,POL,4,,Bydgoszcz (POL),02 AUG 2009,1097
107,8:35.90,,William NELSON,11 SEP 1984,USA,7,,"Eugene, OR (USA)",07 JUN 2009,1096
108,8:36.00,,Steve SLATTERY,14 AUG 1980,USA,1,,Baie Mahault (FRA),01 MAY 2009,1096
109,8:36.17,,José Gregorio PEÑA,12 JAN 1987,VEN,2,,Lima (PER),20 JUN 2009,1095
110,8:36.28,,Michael SPENCE,20 MAY 1978,USA,6f1,,"Palo Alto, CA (USA)",02 MAY 2009,1095
111,8:36.98,,Cory THORNE,24 APR 1987,USA,1,,"Louisville, KY (USA)",30 MAY 2009,1092
112,8:37.01,,Badre Din ZIOINI,25 MAR 1976,FRA,10,,Metz (FRA),03 JUL 2009,1091
112,8:37.01,,Yegor NIKOLAYEV,28 APR 1988,RUS,4f2,,Cheboksary (RUS),23 JUL 2009,1091
114,8:37.06,,Francisco ESPAÑA,27 OCT 1984,ESP,8,,Huelva (ESP),10 JUN 2009,1091
115,8:37.20,,Josh KARANJA,14 JUN 1984,CAN,2,,"Louisville, KY (USA)",30 MAY 2009,1091
116,8:37.29,,Luke GUNN,22 MAR 1985,GBR,13,,"Stade Louis II, Monaco (MON)",28 JUL 2009,1090
117,8:37.3h,,Abraham CHERONO,21 JUL 1980,KEN,5,,Nairobi (KEN),23 MAY 2009,1090
