Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
86,8:31.55,,Andrey KOZHEVNIKOV,20 AUG 1982,RUS,1,,Tula (RUS),12 JUN 2006,1115
87,8:31.72,,Mircea BOGDAN,06 MAY 1982,ROU,1,,"Palo Alto, CA (USA)",30 APR 2006,1115
88,8:31.91,,Badre Din ZIOINI,25 MAR 1976,FRA,7,,Villeneuve d'Ascq (FRA),09 JUN 2006,1114
89,8:32.14,,Said JERMOUNI,,MAR,2,,Norrtälje (SWE),03 JUL 2006,1113
90,8:32.20,,Pedro Miguel RIBEIRO,25 MAR 1981,POR,8,,Barcelona (ESP),10 JUN 2006,1112
91,8:32.6h,,Nelson MONGAKA,,KEN,1,,Nairobi (KEN),24 JUN 2006,1111
92,8:32.68,,Ben BRUCE,10 SEP 1982,USA,2,,"Palo Alto, CA (USA)",30 APR 2006,1110
93,8:32.73,,Jamel CHATBI,30 APR 1984,MAR,3,,Reims (FRA),25 JUL 2006,1110
94,8:32.87,,Anatoliy KHARKOVETS,07 JUL 1983,UKR,2,,Kyiv (UKR),21 JUL 2006,1109
95,8:33.17,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,1,,Busto Arsizio (ITA),23 SEP 2006,1108
96,8:33.44,,Jun SHINOTO,02 APR 1985,JPN,1,,Kobe (JPN),02 JUL 2006,1107
97,8:33.6h,,Joshphat Mitunga KITHII,28 DEC 1990,KEN,2,,Nairobi (KEN),24 JUN 2006,1106
98,8:33.68,,Linzhong SHI,06 JAN 1981,CHN,3,,"Palo Alto, CA (USA)",30 APR 2006,1106
99,8:33.7h,,Abdelfattah LOUAJARI,10 JAN 1984,MAR,2,,Rabat (MAR),20 MAY 2006,1106
100,8:33.76,,Filmon GHIRMAI,25 JAN 1979,GER,1,,Regensburg (GER),17 JUN 2006,1106
100,8:33.76,,Boris ZAKHAROV,31 MAR 1984,RUS,2,,Kazan (RUS),09 JUL 2006,1106
102,8:34.10,,Joshua MCADAMS,26 MAR 1980,USA,1,,"Sacramento, CA (USA)",10 JUN 2006,1104
103,8:34.1h,,Elijah CHELIMO,20 APR 1987,KEN,6,,Nairobi (KEN),01 JUL 2006,1104
104,8:34.14,,Benjamin KIPLAGAT,04 MAR 1989,UGA,6,,"Chaoyang Sport Center, Beijing (CHN)",19 AUG 2006,1104
105,8:34.17,,Yoshitaka IWAMIZU,20 JUN 1979,JPN,2,,Kobe (JPN),02 JUL 2006,1104
106,8:34.69,,Amine BENSALEM,1984,ALG,1,,Algiers (ALG),18 JUL 2006,1102
107,8:34.72,,Francisco Javier LARA,24 JUN 1976,ESP,13,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1101
108,8:34.78,,Enrique SÁNCHEZ,14 OCT 1983,ESP,14,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1101
109,8:34.83,,Raphael SCHÄFER,06 MAR 1981,GER,4,,Rehlingen (GER),05 JUN 2006,1101
110,8:34.84,,Andrew LEMONCELLO,12 OCT 1982,GBR,1,,"Winston Salem, NC (USA)",22 APR 2006,1101
111,8:34.86,,Ivan LUKYANOV,31 JAN 1981,MDA,6sf1,,"Ullevi Stadium, Göteborg (SWE)",09 AUG 2006,1101
112,8:34.95,,Stephan HOHL,23 FEB 1980,GER,2,,Regensburg (GER),17 JUN 2006,1100
113,8:35.04,,Aaron AGUAYO,27 JUL 1984,USA,1,,"Eugene, OR (USA)",13 MAY 2006,1100
114,8:35.38,,Abel Kiprop MUTAI,02 OCT 1988,KEN,1,,Leiria (POR),04 JUN 2006,1099
114,8:35.38,,Michael SPENCE,20 MAY 1978,USA,4h2,,"Indianapolis, IN (USA)",23 JUN 2006,1099
116,8:35.40,,Jordan DESILETS,05 DEC 1980,USA,5h2,,"Indianapolis, IN (USA)",23 JUN 2006,1098
117,8:35.46,,Mike NICKS,13 SEP 1981,USA,6,,"Indianapolis, IN (USA)",25 JUN 2006,1098
118,8:35.5h,,Kiopkoech KEMBOI,,KEN,3,,Nairobi (KEN),24 JUN 2006,1098
119,8:35.56,,Brian OLINGER,02 JUN 1983,USA,4h1,,"Indianapolis, IN (USA)",23 JUN 2006,1098
120,8:35.88,,Yuri FLORIANI,25 DEC 1981,ITA,4,,Valencia (ESP),28 MAY 2006,1096
121,8:35.89,,Alexander GREAUX,22 SEP 1977,PUR,1,,Ponce (PUR),26 MAY 2006,1096
122,8:35.95,,Mindaugas PUKŠTAS,23 JUN 1978,LTU,3,,Kaunas (LTU),01 JUL 2006,1096
123,8:35.97,,Patrick MUTAI,31 DEC 1983,KEN,4,,"Palo Alto, CA (USA)",30 APR 2006,1096
124,8:36.12,,Luke WATSON,20 AUG 1980,USA,8,,"Indianapolis, IN (USA)",25 JUN 2006,1095
125,8:36.36,,Ildar MINSHIN,05 FEB 1985,RUS,3,,Kazan (RUS),09 JUL 2006,1094
126,8:36.52,,Tom CHORNY,23 NOV 1976,USA,1,,"Nashville, TN (USA)",03 JUN 2006,1094
127,8:36.60,,Solomon KANDIE,28 AUG 1978,KEN,3,,"Columbus, OH (USA)",05 MAY 2006,1093
