Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
94,9:46.57,,Annie RODENFELS,24 JUL 1996,USA,9,,"Drake Stadium, Los Angeles, CA (USA)",26 MAY 2023,1128
95,9:46.65,,Reimi YOSHIMURA,22 APR 2000,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 JUN 2023,1127
96,9:47.36,,Courtney FRERICHS,18 JAN 1993,USA,8h2,,"Hayward Field, Eugene, OR (USA)",06 JUL 2023,1126
97,9:47.79,,Alondra NEGRON,31 MAY 1998,PUR,6,,"Drake Stadium, Des Moines, IA (USA)",28 APR 2023,1125
98,9:48.66,,Abby KOHUT-JACKSON,24 JUN 1998,USA,4,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1123
99,9:48.70,,Chikako MORI,25 NOV 1992,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",01 JUN 2023,1122
100,9:48.79,,Aynalem DESTA,21 JAN 2004,ETH,7,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1122
101,9:48.83,,Sophie NOVAK,,USA,3,,"Paul Derr TF Facility, Raleigh, NC (USA)",12 MAY 2023,1122
102,9:48.89,,Maisie GRICE,29 JUN 2000,GBR,4h1,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1122
103,9:50.86,,Laura TABORDA,01 JAN 1999,POR,6f7,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1117
104,9:51.02,,Victoria PATTERSON,,USA,2,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",21 APR 2023,1117
105,9:51.20,,June ARBEO,04 FEB 1999,ESP,5,,"Polideportivo Municipal, Andújar (ESP)",26 MAY 2023,1116
106,9:51.21,,Natalya ARISTARKHOVA,31 OCT 1989,RUS,2,,"Slava Metreveli Stadium, Sochi (RUS)",25 MAY 2023,1116
107,9:51.49,,Julia SAMUELSSON,22 MAR 1999,SWE,2,,"Olympiastadion, Stockholm (SWE)",03 SEP 2023,1116
108,9:51.60,,Kayla WINDEMULLER,01 AUG 2000,USA,1f1,,"Franklin Field, Philadelphia, PA (USA)",27 APR 2023,1115
109,9:51.76,,Lona LATEMA,,KEN,3h2,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1115
110,9:52.12,,Yasmin AUSTRIDGE,11 AUG 2000,GBR,1,,"Ole Miss T&F Complex, Oxford, MS (USA)",07 APR 2023,1114
110,9:52.12,,Caroline JEPKORIR,23 JUL 2000,KEN,6,,"Nyayo National Stadium, Nairobi (KEN)",24 JUN 2023,1114
112,9:52.15,,Calli DOAN,11 AUG 2000,USA,6sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",08 JUN 2023,1114
113,9:52.28,,Yuzu NISHIDE,25 JAN 2000,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",06 MAY 2023,1114
114,9:52.49,,Katelyn MITCHEM,10 APR 2000,USA,2f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",31 MAR 2023,1113
115,9:52.68,,Emma TAVELLA,,USA,4h2,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1113
116,9:52.75,,Kiana GIBSON,23 NOV 1999,CAN,5,,"McLeod Stadium, Langley (CAN)",27 JUL 2023,1113
117,9:52.95,,Veerle BAKKER,29 SEP 1997,NED,3f1,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",20 MAY 2023,1112
118,9:53.01,,Clara VIÑARAS,08 SEP 1993,ESP,9,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2023,1112
119,9:53.64,,Lilian Jepkorir CHEBII,02 JUN 1994,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 JUN 2023,1110
120,9:53.70,,Jenna MELANSON,,CAN,10,,"McLeod Stadium, Langley (CAN)",14 JUL 2023,1110
121,9:53.86,,Emily COLE,14 DEC 2000,USA,2f3,,"Paul Derr TF Facility, Raleigh, NC (USA)",24 MAR 2023,1110
122,9:53.98,,Şevval ÖZDOĞAN,03 NOV 2002,TUR,7,,"Campo Scuola Moreno Martini, Lucca (ITA)",04 JUN 2023,1110
123,9:54.03,,Ruken TEK,01 MAY 2001,TUR,6,,"Polideportivo Municipal, Andújar (ESP)",26 MAY 2023,1109
124,9:54.05,,Carolin HINRICHS,26 JAN 2004,GER,2,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1109
125,9:54.14,,Agnieszka CHORZĘPA,14 JAN 2001,POL,2h1,,"Leppävaaran Stadion, Espoo (FIN)",13 JUL 2023,1109
126,9:54.20,,Lydia OLIVERE,08 MAR 2000,USA,2,,"Villanova University, Villanova, PA (USA)",12 MAY 2023,1109
127,9:54.72,,Meredith RIZZO,07 FEB 1995,USA,1,,"Joe Compagni Track at Kessler Stadium, West Long Branch, NJ (USA)",17 JUN 2023,1108
128,9:54.74,,Sarah TAIT,26 MAR 2001,GBR,6,,"Leppävaaran Stadion, Espoo (FIN)",15 JUL 2023,1108
129,9:54.98,,Sibylle HÄRING,07 NOV 2000,SUI,3,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1107
