Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
71,9:43.18,,Linn SÖDERHOLM,05 MAY 1996,SWE,7,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1136
72,9:44.36,,Julia SAMUELSSON,22 MAR 1999,SWE,6f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1133
73,9:44.82,,. PRITI,18 DEC 1995,IND,6,,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1132
74,9:44.85,,Irene VAN DER REIJKEN,13 AUG 1993,NED,7f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1132
75,9:45.01,,Zita URBÁN,22 APR 2002,HUN,4f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1131
76,9:45.08,,Mercy Wanjiru GITAHI,28 MAR 1999,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1131
77,9:45.19,,Veerle BAKKER,29 SEP 1997,NED,5f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1131
78,9:45.52,,Brielle ERBACHER,28 FEB 1999,AUS,4,,"SA Athletic Stadium, Adelaide (AUS)",12 APR 2024,1130
79,9:46.17,,Lena MILLONIG,25 MAR 1998,AUT,6f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1129
79,9:46.17,,Linda WREDE,09 OCT 1993,GER,8f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1129
81,9:46.25,,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",10 MAY 2024,1128
82,9:46.71,,Kayley DELAY,07 JUN 1999,USA,13,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1127
83,9:46.74,,Parul CHAUDHARY,15 APR 1995,IND,16,,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1127
84,9:47.49,,Meseret YESHANEH,12 MAY 2005,ETH,4,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1125
85,9:47.57,,Sophie NOVAK,,USA,2sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1125
86,9:47.76,,Miu SAITOU,22 JUN 2002,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1125
87,9:48.20,,Janette SCHRAFT,,USA,1f1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1124
88,9:48.22,,Katelyn STEWART-BARNETT,12 MAY 2003,CAN,1f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1124
89,9:48.62,,Laura MAASIK,05 OCT 1993,EST,5,,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1123
90,9:49.16,,Colett RAMPF,1991,USA,3,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",31 MAY 2024,1121
91,9:49.59,,Kristel VAN DEN BERG,30 OCT 1998,NED,9f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1120
92,9:49.63,,Alemnet WALE,,ETH,5,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1120
93,9:49.77,,Manami NISHIYAMA,09 DEC 1999,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",21 APR 2024,1120
94,9:50.86,,Eleonora CURTABBI,27 MAR 1997,ITA,8,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1117
95,9:51.00,,Adia BUDDE,29 JUL 2005,GER,1,,"Sportanlage an der Kanalstraße, Zeven (GER)",19 MAY 2024,1117
96,9:51.01,,Purity KIRUI,13 AUG 1991,KEN,6,,"University of Ghana Sports Stadium, Accra (GHA)",20 MAR 2024,1117
97,9:51.28,,Kiana GIBSON,23 NOV 1999,CAN,2f2,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1116
98,9:51.37,,Stevie LAWRENCE-WRIST,18 FEB 1997,GBR,9,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1116
99,9:51.57,,Taylor LOVELL,,USA,7f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1115
100,9:51.64,,Marta SERRANO,05 APR 2003,ESP,10f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1115
101,9:51.65,,Judy CHEPKOECH,,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1115
102,9:52.36,,Leila HADJI,01 JAN 1998,FRA,1,,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1114
103,9:52.41,,Georgia WINKCUP,09 MAY 1997,AUS,5,,"SA Athletic Stadium, Adelaide (AUS)",12 APR 2024,1113
