Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
57,13:16.67,,Narve Gilje NORDÅS,30 SEP 1998,NOR,4,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1149
58,13:16.80,,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,1,,"Bislett Stadion, Oslo (NOR)",04 JUN 2021,1149
59,13:17.04,,Mohamed ABDILAAHI,24 MAR 1999,GER,5,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1148
60,13:17.20,,William KINCAID,21 SEP 1992,USA,14,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1147
61,13:17.23,,Yemaneberhan CRIPPA,15 OCT 1996,ITA,1,,"Stadion Śląski, Chorzów (POL)",29 MAY 2021,1147
62,13:18.15,,Carlos MAYO,18 SEP 1995,ESP,3,,"Stadion Śląski, Chorzów (POL)",29 MAY 2021,1144
63,13:18.27,,Stephen KISSA,01 DEC 1988,UGA,5,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1144
64,13:18.29,,Telahun Haile BEKELE,13 MAY 1999,ETH,10,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1143
65,13:18.74,,Razini LEMETEKI,21 DEC 1998,KEN,2f30,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14 NOV 2021,1142
66,13:18.75,,Daniel NDIRITU,06 JUN 2004,KEN,3f30,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14 NOV 2021,1142
67,13:18.78,,Tsegay KIDANU,28 DEC 2001,ETH,6,,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1142
68,13:18.95,,Cole HOCKER,06 JUN 2001,USA,4,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1141
69,13:19.11,,Robert BRANDT,02 NOV 1996,USA,5,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1141
