Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
68,8:29.16,,Ángel MULLERA,20 APR 1984,ESP,3,,"Letzigrund, Zürich (SUI)",14 AUG 2014,1126
69,8:29.28,,Dominic Chemut KIPTARUS,19 AUG 1996,KEN,3,,Nairobi (KEN),25 JUN 2014,1125
70,8:29.41,,Abdelhakim ZILALI,20 JUN 1983,FRA,5,,Sotteville-lès-Rouen (FRA),14 JUN 2014,1125
71,8:29.48,,Halil AKKAŞ,01 JUL 1983,TUR,1,,Fes (MAR),24 MAY 2014,1124
72,8:29.82,,Vadim SLOBODENYUK,17 MAR 1981,UKR,1f2,,Kirovograd (UKR),25 JUL 2014,1123
73,8:29.89,,Jukka KESKISALO,27 MAR 1981,FIN,3,,Joensuu (FIN),24 JUL 2014,1123
74,8:29.97,,Habtamu FAYISA,19 APR 1993,ETH,3,,Montbéliard (FRA),06 JUN 2014,1122
75,8:29.99,,Romain COLLENOT-SPRIET,09 JAN 1992,FRA,6,,Sotteville-lès-Rouen (FRA),14 JUN 2014,1122
76,8:30.0h,,Abraham CHIRCHIR,01 AUG 1980,KEN,5,,Nairobi (KEN),07 JUN 2014,1122
77,8:30.54,,Anthony ROTICH,20 OCT 1990,USA,2f1,,"Palo Alto, CA (USA)",04 MAY 2014,1120
78,8:30.7h,,Wilson MARABA,1986,KEN,6,,Nairobi (KEN),07 JUN 2014,1119
79,8:32.0h,,Edwin KIRWA,25 MAY 1979,KEN,7,,Nairobi (KEN),07 JUN 2014,1113
80,8:32.03,,Hichem BOUCHICHA,19 MAY 1989,ALG,8,,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1113
81,8:32.23,,Abdelhamid ZERRIFI,20 JUN 1986,ALG,7,,Sotteville-lès-Rouen (FRA),14 JUN 2014,1112
82,8:32.61,,Evans Rutto CHEMATOT,19 MAR 1996,BRN,3,,"Hayward Field, Eugene, OR (USA)",27 JUL 2014,1111
83,8:32.66,,Soufiane EL BAKKALI,07 JAN 1996,MAR,3,,Fes (MAR),24 MAY 2014,1110
84,8:32.69,,Illya SUKHAREV,17 JUN 1986,UKR,2f2,,Kirovograd (UKR),25 JUL 2014,1110
85,8:32.82,,Tomas TAJADURA JUEZ,25 JUN 1985,ESP,11,,Huelva (ESP),12 JUN 2014,1110
86,8:32.92,,Aric VAN HALEN,06 OCT 1989,USA,3f1,,"Palo Alto, CA (USA)",04 MAY 2014,1109
87,8:33.09,,Janne UKONMAANAHO,13 MAR 1984,FIN,12,,Huelva (ESP),12 JUN 2014,1109
88,8:33.40,,Dejeni REGASSA,18 APR 1989,BRN,9,,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1107
89,8:33.53,,Monatcer ZAGHOU,14 MAY 1989,MAR,8,,Beijing (CHN),21 MAY 2014,1107
90,8:33.79,,De'Sean TURNER,16 SEP 1988,USA,1,,"Bloomington, IN (USA)",02 MAY 2014,1105
91,8:33.84,,Aoi MATSUMOTO,07 SEP 1987,JPN,4,,Joensuu (FIN),24 JUL 2014,1105
92,8:34.1h,,Kennedy MUREITHI,,KEN,9,,Nairobi (KEN),07 JUN 2014,1104
93,8:34.37,,Mohammed BOULAMA,31 DEC 1993,MAR,6,,Tokyo (JPN),11 MAY 2014,1103
93,8:34.37,,Jun SHINOTO,02 APR 1985,JPN,1,,Yamaguchi (JPN),11 OCT 2014,1103
95,8:34.64,,James NIPPERESS,21 MAY 1990,AUS,7,,Tokyo (JPN),11 MAY 2014,1102
96,8:34.71,,Alexandre GENEST,30 JUN 1986,CAN,3,,Guelph (CAN),31 MAY 2014,1101
97,8:34.8h,,Kennedy KOSGEI,,KEN,3h1,,Nairobi (KEN),06 JUN 2014,1101
