Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
172,4:28.33,,Lisa-Maria LEUTNER,13 MAR 1990,AUT,10,,Wien (AUT) (i),29 JAN 2013,1007
173,4:28.34,,Sarah LAHTI,18 FEB 1995,SWE,1,,Uddevalla (SWE) (i),24 FEB 2013,1007
174,4:28.42,,Kaiqin ZHANG,12 MAY 1994,CHN,3f2,,Beijing (CHN) (i),29 MAR 2013,1006
175,4:28.43,,Qian SU,04 NOV 1988,CHN,5f1,,Nanjing (CHN) (i),06 MAR 2013,1006
176,4:28.47,,Xiaoyu FANG,06 MAR 1987,CHN,6f1,,Nanjing (CHN) (i),06 MAR 2013,1006
177,4:28.52,,Natalya PRYSHCHEPA,11 SEP 1994,UKR,1f2,,Sumy (UKR) (i),13 FEB 2013,1006
178,4:28.54,,Marta PÉREZ,19 APR 1993,ESP,3h2,,Sabadell (ESP) (i),16 FEB 2013,1005
179,4:28.56,,Almudena Maria RODRÍGUEZ,24 MAY 1988,ESP,5h1,,Sabadell (ESP) (i),16 FEB 2013,1005
180,4:28.72,,Julia COOKE,09 SEP 1988,GBR,2,,Birmingham (GBR) (i),02 FEB 2013,1004
181,4:28.77,,Caterina GRANZ,14 MAR 1994,GER,3,,Berlin (GER) (i),02 FEB 2013,1004
182,4:28.79,,Haiyan ZHOU,03 JAN 1990,CHN,4f2,,Beijing (CHN) (i),29 MAR 2013,1004
183,4:28.81,,Galina BUBNOVA,10 DEC 1993,RUS,6,,Volgograd (RUS) (i),24 FEB 2013,1003
184,4:28.85,,Slađana PERUNOVIĆ,26 MAR 1984,MNE,5,,Istanbul (TUR) (i),23 FEB 2013,1003
185,4:28.87,,Eleanor STEVENS,29 JUN 1984,GBR,2,,Sheffield (GBR) (i),12 JAN 2013,1003
185,4:28.87,,Xiaoyu YIN,23 AUG 1993,CHN,10f2,,Nanjing (CHN) (i),06 MAR 2013,1003
187,4:28.88,,Marіya SHATALOVA,01 MAR 1989,UKR,2f2,,Sumy (UKR) (i),13 FEB 2013,1003
188,4:28.94,,Alsu BOGDANOVA,12 MAY 1994,RUS,1f4,,Novocheboksarsk (RUS) (i),10 FEB 2013,1002
189,4:29.00,,Marta PEN FREITAS,31 JUL 1993,POR,2f1,,Pombal (POR) (i),09 FEB 2013,1002
190,4:29.03,,Maria PAPADOPOULOU,15 DEC 1974,GRE,2,,Pireaus (GRE) (i),16 FEB 2013,1002
191,4:29.04,,Alena SHUKHTUEVA,07 DEC 1993,RUS,7,,Volgograd (RUS) (i),24 FEB 2013,1002
192,4:29.08,,Ana Maria FERNÁNDEZ,20 AUG 1987,ESP,4h2,,Sabadell (ESP) (i),16 FEB 2013,1001
193,4:29.1h,,Anna ZOLOTUKHINA,09 DEC 1992,RUS,1,,Chelyabinsk (RUS) (i),19 JAN 2013,1001
194,4:29.16,,Chelsea JARVIS,23 JAN 1996,GBR,2,,Cardiff (GBR) (i),10 MAR 2013,1001
195,4:29.18,,Katsiaryna KARNEYENKA,17 MAR 1988,BLR,2,,Mogilyov (BLR) (i),26 JAN 2013,1001
196,4:29.29,,Sophie RICHES,01 OCT 1995,GBR,8,,Sheffield (GBR) (i),10 FEB 2013,1000
197,4:29.38,,Tuğba GÜVENÇ,09 JUL 1994,TUR,1,,Istanbul (TUR) (i),21 DEC 2013,999
198,4:29.39,,Frida BERGE,13 MAR 1994,NOR,3,,Haugesund (NOR) (i),02 FEB 2013,999
199,4:29.43,,Eleonora BONANNI,03 JUN 1987,ITA,5,,Ancona (ITA) (i),16 FEB 2013,999
200,4:29.45,,Ffion PRICE,11 AUG 1994,GBR,11,,Wien (AUT) (i),29 JAN 2013,999
200,4:29.45,,Thea HEIM,26 JUL 1992,GER,6,,Dortmund (GER) (i),24 FEB 2013,999
202,4:29.46,,Anna KAZAKOVA,1988,RUS,2,,St. Petersburg (RUS) (i),05 JAN 2013,999
202,4:29.46,,Carise THOMPSON,07 MAR 1992,CAN,3,,Edmonton (CAN) (i),09 MAR 2013,999
204,4:29.59,,Colleen HENNESSY,1992,CAN,3,,Windsor (CAN) (i),22 FEB 2013,998
205,4:29.61,,Natalya DANILOVA,28 AUG 1991,RUS,8,,Volgograd (RUS) (i),24 FEB 2013,997
206,4:29.64,,Tova EURÉN MAGNUSSON,11 FEB 1994,SWE,2,,Uddevalla (SWE) (i),24 FEB 2013,997
207,4:29.66,,Yuliya NESTEROVA,02 SEP 1994,BLR,3,,Mogilyov (BLR) (i),26 JAN 2013,997
208,4:29.67,,Nathalie ROHLÉN,19 JUL 1990,SWE,3,,Norrköping (SWE) (i),17 FEB 2013,997
209,4:29.69,,Kristina MÄKI,22 SEP 1991,CZE,1,,Praha (CZE) (i),17 FEB 2013,997
210,4:29.71,,Alla KULYATINA,09 JUN 1990,RUS,3,,Irkutsk (RUS) (i),25 JAN 2013,997
211,4:29.77,,Johanna Christine SCHULZ,25 SEP 1994,GER,4,,Hamburg (GER) (i),19 JAN 2013,996
212,4:29.78,,Vaida ŽŪSINAITĖ-NEKRIOŠIENĖ,13 JAN 1988,LTU,1,,Vilnius (LTU) (i),26 JAN 2013,996
213,4:29.80,,Ulyana AVVAKUMENKOVA,21 JUN 1994,RUS,1,,St. Petersburg (RUS) (i),19 JAN 2013,996
214,4:29.84,,Beatriz VALIENTE,15 FEB 1979,ESP,5h2,,Sabadell (ESP) (i),16 FEB 2013,996
215,4:29.85,,Beatriz ÁLVAREZ,16 DEC 1994,ESP,6h1,,Sabadell (ESP) (i),16 FEB 2013,996
216,4:29.9h,,Mariya MEZHENSKAYA,17 OCT 1994,RUS,,,Chelyabinsk (RUS) (i),19 JAN 2013,995
217,4:29.90,,Martyna PUSCHHAUS,12 AUG 1993,POL,4,,Spala (POL) (i),17 FEB 2013,995
218,4:30.04,,Volha REZKAYA,02 NOV 1986,BLR,2,,Mogilyov (BLR) (i),05 FEB 2013,994
219,4:30.13,,Olha YEKYMENKO,04 SEP 1987,UKR,1,,Zaporozhye (UKR) (i),29 JAN 2013,994
219,4:30.13,,Isabella ANDERSSON,13 JUN 1997,SWE,1,,"Globe Arena, Stockholm (SWE) (i)",21 FEB 2013,994
221,4:30.15,,Shuangshuang XU,06 APR 1996,CHN,7f1,,Nanjing (CHN) (i),06 MAR 2013,993
222,4:30.28,,Xiaojun ZHANG,15 MAR 1992,CHN,8f1,,Nanjing (CHN) (i),06 MAR 2013,993
